,strDrink,strCategory,strGlass,strIngredients,Alc_type,Basic_taste,strInstructions,strMeasures,Value_ml,Value_gr,Garnish_amount,Garnish_type
780,Egg Nog #4,Punch / Party Drink,Punch bowl,Bourbon,Whisky,,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",1/2 cup,,64.0,,
781,Egg Nog #4,Punch / Party Drink,Punch bowl,Vanilla Extract,,sweet,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",1 tsp,,4.0,,
782,Egg Nog #4,Punch / Party Drink,Punch bowl,Salt,,salty,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",1/4 tsp,,1.0,,
783,Egg Nog #4,Punch / Party Drink,Punch bowl,Whipping Cream,,cream,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",1 cup,,128.0,,
784,Egg Nog #4,Punch / Party Drink,Punch bowl,Egg White,,egg,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",6,270.0,,,
785,Egg Nog #4,Punch / Party Drink,Punch bowl,Milk,,cream,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",2 cups,474.0,,,
786,Egg Nog #4,Punch / Party Drink,Punch bowl,Sugar,,sweet,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",1/4 cup,,32.0,,
787,Egg Nog #4,Punch / Party Drink,Punch bowl,Nutmeg,,spicy,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",ground,,,0.5,grated
788,Egg Nog #4,Punch / Party Drink,Punch bowl,Egg Yolk,,egg,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",6,270.0,,,
789,Egg Nog #4,Punch / Party Drink,Punch bowl,Sugar,,sweet,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",1/4 cup,,32.0,,
790,Egg Nog - Healthy,Punch / Party Drink,Collins Glass,Nutmeg,,spicy,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",,,,0.5,grated
791,Egg Nog - Healthy,Punch / Party Drink,Collins Glass,Rum,Rum,,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",1 tsp,,4.0,,
792,Egg Nog - Healthy,Punch / Party Drink,Collins Glass,Sugar,,sweet,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",3 tblsp,,42.0,,
793,Egg Nog - Healthy,Punch / Party Drink,Collins Glass,Egg,,egg,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",1/2 cup,,64.0,,
794,Egg Nog - Healthy,Punch / Party Drink,Collins Glass,Vanilla Extract,,sweet,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",1 tsp,,4.0,,
795,Egg Nog - Healthy,Punch / Party Drink,Collins Glass,Condensed Milk Skimmed,,cream,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",13 oz skimmed,390.0,,,
796,Egg Nog - Healthy,Punch / Party Drink,Collins Glass,Milk Skimmed,,cream,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",3/4 cup skimmed,177.75,,,
797,Egg-Nog - Classic Cooked,Punch / Party Drink,Pitcher,Egg,,egg,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",6,270.0,,,
798,Egg-Nog - Classic Cooked,Punch / Party Drink,Pitcher,Vanilla Extract,,sweet,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",1 tsp,,4.0,,
799,Egg-Nog - Classic Cooked,Punch / Party Drink,Pitcher,Sugar,,sweet,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",1/4 cup,,32.0,,
800,Egg-Nog - Classic Cooked,Punch / Party Drink,Pitcher,Milk,,cream,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",1 qt,946.0,,,
801,Egg-Nog - Classic Cooked,Punch / Party Drink,Pitcher,Salt,,salty,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",1/4 tsp,,1.0,,
802,English Highball,Ordinary Drink,Highball glass,Lemon Peel,,sour,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,,,,
803,English Highball,Ordinary Drink,Highball glass,Brandy,Brandy,,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",3/4 oz,22.5,,,
804,English Highball,Ordinary Drink,Highball glass,Gin,Gin,,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",3/4 oz,22.5,,,
805,English Highball,Ordinary Drink,Highball glass,Sweet Vermouth,Vermouth,,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",3/4 oz,22.5,,,
806,English Highball,Ordinary Drink,Highball glass,Carbonated Water,,water,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",,,,,
807,English Rose Cocktail,Ordinary Drink,Cocktail glass,Dry Vermouth,Vermouth,,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,3/4 oz,22.5,,,
808,English Rose Cocktail,Ordinary Drink,Cocktail glass,Lemon Juice,,sour,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,1/4 tsp,,1.0,,
809,English Rose Cocktail,Ordinary Drink,Cocktail glass,Gin,Gin,,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,1 1/2 oz,45.0,,,
810,English Rose Cocktail,Ordinary Drink,Cocktail glass,Grenadine,,sweet,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,1 tsp,,4.0,,
811,English Rose Cocktail,Ordinary Drink,Cocktail glass,Apricot Brandy,Brandy,,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,3/4 oz,22.5,,,
812,English Rose Cocktail,Ordinary Drink,Cocktail glass,Cherry,,sweet,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,1,,,1,berry
813,Espresso Martini,Cocktail,Cocktail glass,Kahlua,Creamy Liqueur,,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",1 cl,10.0,,,
814,Espresso Martini,Cocktail,Cocktail glass,Vodka,Vodka,,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",5 cl,50.0,,,
815,Espresso Martini,Cocktail,Cocktail glass,Sugar Syrup,,sweet,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",1 dash,1.0,,,
816,Fahrenheit 5000,Shot,Shot glass,Firewater,Vodka,,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,1/2 oz,15.0,,,
817,Fahrenheit 5000,Shot,Shot glass,Absolut Peppar,Vodka,,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,1/2 oz,15.0,,,
818,Fahrenheit 5000,Shot,Shot glass,Tabasco Sauce,,spicy,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,1 dash,1.0,,,
819,Flaming Dr. Pepper,Shot,Collins Glass,Amaretto,Sweet Liqueur,,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",1 oz,30.0,,,
820,Flaming Dr. Pepper,Shot,Collins Glass,Dr. Pepper,,spicy,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",1 oz,30.0,,,
821,Flaming Dr. Pepper,Shot,Collins Glass,Beer,Beer,,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",1 oz,30.0,,,
822,Flaming Dr. Pepper,Shot,Collins Glass,151 Proof Rum,Rum,,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",1 oz bacardi,30.0,,,
823,Flaming Dr. Pepper,Shot,Collins Glass,Vodka,Vodka,,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",1 oz,30.0,,,
824,Flaming Lamborghini,Cocktail,Cocktail glass,Blue Curacao,Triple Sec,,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",1 oz,30.0,,,
825,Flaming Lamborghini,Cocktail,Cocktail glass,Kahlua,Creamy Liqueur,,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",1 oz,30.0,,,
826,Flaming Lamborghini,Cocktail,Cocktail glass,Bailey'S Irish Cream,Creamy Liqueur,,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",1 oz,30.0,,,
827,Flaming Lamborghini,Cocktail,Cocktail glass,Sambuca,Sambuca,,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",1 oz,30.0,,,
828,Flander's Flake-Out,Ordinary Drink,Collins Glass,Sarsaparilla,,sweet,Bang 'em both in.,3/4 glass,262.5,,,
829,Flander's Flake-Out,Ordinary Drink,Collins Glass,Sambuca,Sambuca,,Bang 'em both in.,1/4 glass,87.5,,,
830,Flying Dutchman,Ordinary Drink,Old-fashioned glass,Triple Sec,Triple Sec,,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",1/2 oz,15.0,,,
831,Flying Dutchman,Ordinary Drink,Old-fashioned glass,Gin,Gin,,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",2 oz,60.0,,,
832,Flying Scotchman,Ordinary Drink,Cocktail glass,Bitters,Bitters,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 dash,1.0,,,
833,Flying Scotchman,Ordinary Drink,Cocktail glass,Scotch,Whisky,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz,30.0,,,
834,Flying Scotchman,Ordinary Drink,Cocktail glass,Sweet Vermouth,Vermouth,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz,30.0,,,
835,Flying Scotchman,Ordinary Drink,Cocktail glass,Sugar Syrup,,sweet,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1/4 tsp,,1.0,,
836,Foxy Lady,Ordinary Drink,Cocktail glass,Creme De Cacao,Creamy Liqueur,,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",1/2 oz,15.0,,,
837,Foxy Lady,Ordinary Drink,Cocktail glass,Light Cream,,cream,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",2 oz,60.0,,,
838,Foxy Lady,Ordinary Drink,Cocktail glass,Amaretto,Sweet Liqueur,,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",1/2 oz,15.0,,,
839,Freddy Kruger,Shot,Shot glass,Vodka,Vodka,,make it an ample size shot!!,1/2 oz,15.0,,,
840,Freddy Kruger,Shot,Shot glass,Jägermeister,Bitters,,make it an ample size shot!!,1/2 oz,15.0,,,
841,Freddy Kruger,Shot,Shot glass,Sambuca,Sambuca,,make it an ample size shot!!,1/2 oz,15.0,,,
842,French 75,Ordinary Drink,Collins glass,Orange,,sweet,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",1,,,1,slice
843,French 75,Ordinary Drink,Collins glass,Champagne,Champagne,,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",4 oz chilled,120.0,,,
844,French 75,Ordinary Drink,Collins glass,Lemon Juice,,sour,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",1 1/2 oz,45.0,,,
845,French 75,Ordinary Drink,Collins glass,Gin,Gin,,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",1 1/2 oz,45.0,,,
846,French 75,Ordinary Drink,Collins glass,Maraschino Cherry,,sweet,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",1,,,1,berry
847,French 75,Ordinary Drink,Collins glass,Sugar Superfine,,sweet,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",2 tsp superfine,10.0,,,
848,French Connection,Ordinary Drink,Old-fashioned glass,Cognac,Brandy,,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,1 1/2 oz,45.0,,,
849,French Connection,Ordinary Drink,Old-fashioned glass,Amaretto,Sweet Liqueur,,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,3/4 oz,22.5,,,
850,French Martini,Cocktail,Cocktail glass,Vodka,Vodka,,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,4.5 cl,45.0,,,
851,French Martini,Cocktail,Cocktail glass,Raspberry Liqueur,Sweet Liqueur,,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,1.5 cl,15.0,,,
852,French Martini,Cocktail,Cocktail glass,Pineapple Juice,,sweet,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,1.5 cl,15.0,,,
853,Frisco Sour,Ordinary Drink,Whiskey sour glass,Lemon,,sour,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,1 slice,,,1,slice
854,Frisco Sour,Ordinary Drink,Whiskey sour glass,Blended Whiskey,Whisky,,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,2 oz,60.0,,,
855,Frisco Sour,Ordinary Drink,Whiskey sour glass,Lime,,sour,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,juice of 1/2,15.0,,,
856,Frisco Sour,Ordinary Drink,Whiskey sour glass,Benedictine,Sweet Liqueur,,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,1/2 oz,15.0,,,
857,Frisco Sour,Ordinary Drink,Whiskey sour glass,Lemon,,sour,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,juice of 1/4,11.25,,,
858,Frisco Sour,Ordinary Drink,Whiskey sour glass,Lime,,sour,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,1 slice,,,1,slice
859,Frozen Daiquiri,Ordinary Drink,Champagne flute,Triple Sec,Triple Sec,,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",1 tblsp,,14.0,,
860,Frozen Daiquiri,Ordinary Drink,Champagne flute,Cherry,,sweet,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",1,,,1,berry
861,Frozen Daiquiri,Ordinary Drink,Champagne flute,Light Rum,Rum,,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",1 1/2 oz,45.0,,,
862,Frozen Daiquiri,Ordinary Drink,Champagne flute,Sugar,,sweet,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",1 tsp,,4.0,,
863,Frozen Daiquiri,Ordinary Drink,Champagne flute,Lime Juice,,sour,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",1 1/2 oz,45.0,,,
864,Frozen Mint Daiquiri,Ordinary Drink,Old-fashioned glass,Mint,,mint,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,6,,5.0,,
865,Frozen Mint Daiquiri,Ordinary Drink,Old-fashioned glass,Lime Juice,,sour,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,1 tblsp,,14.0,,
866,Frozen Mint Daiquiri,Ordinary Drink,Old-fashioned glass,Sugar,,sweet,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,1 tsp,,4.0,,
867,Frozen Mint Daiquiri,Ordinary Drink,Old-fashioned glass,Light Rum,Rum,,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,2 oz,60.0,,,
868,Frozen Pineapple Daiquiri,Ordinary Drink,Champagne flute,Sugar,,sweet,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.,1/2 tsp,,2.0,,
869,Frozen Pineapple Daiquiri,Ordinary Drink,Champagne flute,Lime Juice,,sour,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.,1 tblsp,,14.0,,
870,Frozen Pineapple Daiquiri,Ordinary Drink,Champagne flute,Light Rum,Rum,,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.,1 1/2 oz,45.0,,,
871,Frozen Pineapple Daiquiri,Ordinary Drink,Champagne flute,Pineapple,,sweet,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.,4 chunks,,120.0,,
872,Fuzzy Asshole,Coffee / Tea,Coffee mug,Peach Schnapps,Schnapps,,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,1/2,15.0,,,
