,strDrink,strCategory,strGlass,strIngredients,Alc_type,Basic_taste,strInstructions,strMeasures,Value_ml,Value_gr,Garnish_amount,Garnish_type
76,A Night In Old Mandalay,Ordinary Drink,Highball glass,Añejo Rum,Rum,,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",1 oz,30.0,,,
77,A Night In Old Mandalay,Ordinary Drink,Highball glass,Light Rum,Rum,,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",1 oz,30.0,,,
78,A Night In Old Mandalay,Ordinary Drink,Highball glass,Orange Juice,,sweet,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",1 oz,30.0,,,
79,A Piece of Ass,Other/Unknown,Highball glass,Sour Mix,,sour,Put ice in glass. Pour in shots. Fill with Sour Mix.,,,,,
80,A Piece of Ass,Other/Unknown,Highball glass,Amaretto,Sweet Liqueur,,Put ice in glass. Pour in shots. Fill with Sour Mix.,1 shot,25.0,,,
81,A Piece of Ass,Other/Unknown,Highball glass,Southern Comfort,Whisky,,Put ice in glass. Pour in shots. Fill with Sour Mix.,1 shot,25.0,,,
82,A Splash of Nash,Shot,Highball glass,Creme De Banane,Sweet Liqueur,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,0.5 oz,15.0,,,
83,A Splash of Nash,Shot,Highball glass,Midori Melon Liqueur,Sweet Liqueur,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,0.5 oz,15.0,,,
84,A Splash of Nash,Shot,Highball glass,Soda Water,,sweet,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,2 oz,60.0,,,
85,A Splash of Nash,Shot,Highball glass,Cranberry Juice,,sour,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,2 oz,60.0,,,
